"pollingstation","TECnum","regionmarzes","TEC","subregion","avagian","geghamian","demirchian","karapetian","harutyunian","manukian","margarian","sargsian","kocharian","total","PSnum","mon_voting","mon_counting","mon_voting_R2","NOTmon_voting","PollingStationR2","DemirchianR2","KocharianR2","votersR2","mon_votingR2","mom_countingR2","yi2","O1","O2","O3","O4","O5","O6","O7","O8","O9","AveKocharian","urban","totalvoters","turnout","R2turnout","nearNagorno","Ararat","Armavir","Gegharkunik","Kotayk","Lori","Shirak","Syunik","Tavush","Vayots_Dzor","Yerevan","phat","voterspersqkm","regiontotalvoters","regiontotalmonitors","voterpermonitoredstation","R1R2only","_Isubregion_2","_Isubregion_3","_Isubregion_4","_Isubregion_5","_Isubregion_6","_Isubregion_7","_Isubregion_8","_Isubregion_9","_Isubregion_10","_Isubregion_11","_Isubregion_12","_Isubregion_13","_Isubregion_14","_Isubregion_15","_Isubregion_16","_Isubregion_17","_Isubregion_18","_Isubregion_19","_Isubregion_20","_Isubregion_21","_Isubregion_22","_Isubregion_23","_Isubregion_24","_Isubregion_25","_Isubregion_26","_Isubregion_27","_Isubregion_28","_Isubregion_29","_Isubregion_30","_Isubregion_31","_Isubregion_32","_Isubregion_33","_Isubregion_34","_Isubregion_35","_Isubregion_36","_Isubregion_37","_Isubregion_38","_Isubregion_39","_Isubregion_40"
"  0076. N 106 School/1-st part/",4,"Yerevan","Tec#4","Kanaker-Zeytun",0.00109999999403954,0.0893999934196472,0.136899992823601,0.0147000001743436,0,0.0113000003620982,0.00109999999403954,0.00109999999403954,0.744300007820129,884,76,0,0,1,1,"076. N 106 School/1-st part/",0.133399993181229,0.866599977016449,757,1,0,0.818234026432037,0,0,1,0,0,0,1,0,1,0.805449962615967,1,1527,0.578912913799286,0.495743274688721,0,0,0,0,0,0,0,0,0,0,1,0.485022276639938,3274.14990234375,679413,270,2516.34448242188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0161. N 168 School",8,"Yerevan","Tec#8","Ajapnyak",0.00260000000707805,0.275700002908707,0.349799990653992,0.0285999998450279,0,0.014299999922514,0,0,0.329000025987625,769,161,0,0,1,1,"0161. N 168 School",0.416999995708466,0.583000004291534,777,1,1,0.581435024738312,0,0,1,0,0,0,1,0,1,0.456000030040741,1,1393,0.552045941352844,0.557788968086243,0,0,0,0,0,0,0,0,0,0,1,0.451699703931808,3274.14990234375,679413,270,2516.34448242188,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0179. N 192 School",8,"Yerevan","Tec#8","Ajapnyak",0.00760000012814999,0.297000020742416,0.312199980020523,0.0419000014662743,0.00130000000353903,0.0177999995648861,0.00130000000353903,0,0.321099996566772,788,179,1,0,1,0,"0179. N 192 School",0.476700007915497,0.523299992084503,814,1,0,0.568860590457916,0,0,0,1,0,0,0,1,1,0.422199994325638,1,1328,0.593373477458954,0.612951815128326,0,0,0,0,0,0,0,0,0,0,1,0.435672044754028,3274.14990234375,679413,270,2516.34448242188,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0376. N 86 Kindergarten",17,"Yerevan","Tec#17","Erebuni",0.0020000000949949,0.268600016832352,0.468800008296967,0.0153000000864267,0,0.012300000526011,0,0.00310000008903444,0.229800000786781,979,376,1,0,1,0,"0376. N 86 Kindergarten",0.450199991464615,0.549799978733063,1164,1,1,0.519096970558167,0,0,0,1,0,0,0,1,1,0.389799982309341,1,1957,0.500255465507507,0.594787955284119,0,0,0,0,0,0,0,0,0,0,1,0.591380655765533,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0405. N 101 School",18,"Yerevan","Tec#18","Erebuni",0.00720000034198165,0.281900018453598,0.258500009775162,0.0179999992251396,0.00180000008549541,0.00360000017099082,0,0,0.429100006818771,557,405,1,0,0,0,NA,0.226000010967255,0.773999989032745,894,0,0,0.627726554870605,0,1,0,0,0,1,0,0,1,0.601549983024597,1,1120,0.497321426868439,0.798214256763458,0,0,0,0,0,0,0,0,0,0,1,0.385432064533234,3274.14990234375,679413,270,2516.34448242188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0075. N 2 Kindergarten",4,"Yerevan","Tec#4","Kanaker-Zeytun",0,0.204099997878075,0.391300022602081,0.0158000010997057,0,0.017000000923872,0,0,0.371800005435944,823,75,0,0,0,1,"075. N 2 Kindergarten",0.574400007724762,0.425599962472916,766,0,0,0.60583907365799,1,0,0,0,1,0,0,0,0,0.398699998855591,1,1399,0.588277339935303,0.547533929347992,0,0,0,0,0,0,0,0,0,0,1,0.453184753656387,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0231. N 90 School",11,"Yerevan","Tec#11","Malatia-Sebastia",0.00410000002011657,0.179799988865852,0.207099989056587,0.0300999991595745,0.00069999997504055,0.00959999952465296,0,0.00069999997504055,0.568000018596649,1463,231,1,0,1,0,"0231. N 90 School",0.330700010061264,0.669300019741058,1418,1,0,0.703434765338898,0,0,0,1,0,0,0,1,1,0.618650019168854,1,1996,0.73296594619751,0.710420846939087,0,0,0,0,0,0,0,0,0,0,1,0.600761711597443,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0145. Erconstruction Project institute",7,"Yerevan","Tec#7","Arabkir",0.0015999999595806,0.177199989557266,0.298400014638901,0.0235999990254641,0.0007999999797903,0.00980000011622906,0,0,0.488600015640259,1230,145,1,0,1,0,"0145. Erconstruction Project institute",0.359799981117249,0.640200018882751,1084,1,0,0.660157382488251,0,0,0,1,0,0,0,1,1,0.564400017261505,1,2015,0.61042183637619,0.53796523809433,0,0,0,0,0,0,0,0,0,0,1,0.605305790901184,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0279. N 38 School",13,"Yerevan","Tec#13","Shengavit",0.00119999994058162,0.225699990987778,0.480699986219406,0.0373999997973442,0,0.0128999995067716,0.00230000005103648,0,0.239799991250038,855,279,0,0,0,1,"0279. N 38 School",0.166700005531311,0.833299994468689,1032,0,0,0.530574262142181,1,0,0,0,1,0,0,0,0,0.536549985408783,1,1673,0.51105797290802,0.616855919361115,0,0,0,0,0,0,0,0,0,0,1,0.52147102355957,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"  0153. Sarajev music School",7,"Yerevan","Tec#7","Arabkir",0.00410000002011657,0.212000012397766,0.303000003099442,0.0248000007122755,0,0.0175999999046326,0.00100000004749745,0,0.437400013208389,967,153,1,0,1,0,"0153. Sarajev music School",0.429500013589859,0.570500016212463,1171,1,0,0.632250547409058,0,0,0,1,0,0,0,1,1,0.503949999809265,1,1817,0.532195925712585,0.644468903541565,0,0,0,0,0,0,0,0,0,0,1,0.557199597358704,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
