"pollingstation","TECnum","regionmarzes","TEC","subregion","avagian","geghamian","demirchian","karapetian","harutyunian","manukian","margarian","sargsian","kocharian","total","PSnum","mon_voting","mon_counting","mon_voting_R2","NOTmon_voting","PollingStationR2","DemirchianR2","KocharianR2","votersR2","mon_votingR2","mom_countingR2","yi2","O1","O2","O3","O4","O5","O6","O7","O8","O9","AveKocharian","urban","totalvoters","turnout","R2turnout","nearNagorno","Ararat","Armavir","Gegharkunik","Kotayk","Lori","Shirak","Syunik","Tavush","Vayots_Dzor","Yerevan","phat","voterspersqkm","regiontotalvoters","regiontotalmonitors","voterpermonitoredstation","R1R2only","_Isubregion_2","_Isubregion_3","_Isubregion_4","_Isubregion_5","_Isubregion_6","_Isubregion_7","_Isubregion_8","_Isubregion_9","_Isubregion_10","_Isubregion_11","_Isubregion_12","_Isubregion_13","_Isubregion_14","_Isubregion_15","_Isubregion_16","_Isubregion_17","_Isubregion_18","_Isubregion_19","_Isubregion_20","_Isubregion_21","_Isubregion_22","_Isubregion_23","_Isubregion_24","_Isubregion_25","_Isubregion_26","_Isubregion_27","_Isubregion_28","_Isubregion_29","_Isubregion_30","_Isubregion_31","_Isubregion_32","_Isubregion_33","_Isubregion_34","_Isubregion_35","_Isubregion_36","_Isubregion_37","_Isubregion_38","_Isubregion_39","_Isubregion_40"
"  0436. Byurakan, Music School",19,"Aragatsotn","Tec#19","Talin",0.00230000005103648,0.403300017118454,0.372999995946884,0.0758000016212463,0.00119999994058162,0.00230000005103648,0,0,0.142200008034706,858,436,0,0,0,1,"0436. Byurakan, Music School",0.192200005054474,0.807799994945526,1072,0,0,0.474923938512802,1,0,0,0,1,0,0,0,0,0.474999994039536,0,1555,0.551768481731415,0.689389050006866,0,0,0,0,0,0,0,0,0,0,0,0.492012053728104,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0456. Gialto, Club",19,"Aragatsotn","Tec#19","Talin",0,0,0,0,0,0,0,0,1,57,456,0,0,0,1,"0456. Gialto, Club",0.0164000000804663,0.98360002040863,61,0,0,0.964031040668488,1,0,0,0,1,0,0,0,0,0.991800010204315,0,103,0.553398072719574,0.592233002185822,0,0,0,0,0,0,0,0,0,0,0,0.18503212928772,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0541. Zamshlu, Club",20,"Aragatsotn","Tec#20","Ashtarak",0,0,0,0.0332999974489212,0,0,0,0,0.966699957847595,90,541,0,0,0,1,"0541. Zamshlu, Club",0.0315999984741211,0.968399941921234,95,0,0,0.945043802261353,1,0,0,0,1,0,0,0,0,0.967549979686737,1,177,0.508474588394165,0.536723136901855,0,0,0,0,0,0,0,0,0,0,0,0.196441203355789,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0448. Avtona, School",19,"Aragatsotn","Tec#19","Talin",0,0,0.5,0,0,0,0,0.0344999991357327,0.465499997138977,58,448,0,0,0,1,"0448. Avtona, School",0.140400007367134,0.859600007534027,57,0,0,0.659265697002411,1,0,0,0,1,0,0,0,0,0.66254997253418,0,137,0.423357665538788,0.416058391332626,0,0,0,0,0,0,0,0,0,0,0,0.190209358930588,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0505. Avshen, Club",20,"Aragatsotn","Tec#20","Ashtarak",0.0109000001102686,0.119599997997284,0.0977999940514565,0.0217000003904104,0,0,0,0,0.75,92,505,0,0,0,1,"0505. Avshen, Club",0.125,0.875,88,0,0,0.821484088897705,1,0,0,0,1,0,0,0,0,0.8125,1,242,0.380165278911591,0.363636374473572,0,0,0,0,0,0,0,0,0,0,0,0.206894546747208,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0555. Ortachya, Club",20,"Aragatsotn","Tec#20","Ashtarak",0,0.194799989461899,0.142900004982948,0.0259999986737967,0,0,0,0,0.636399984359741,77,555,0,0,0,1,"0555. Ortachya, Club",0.412999987602234,0.587000012397766,92,0,0,0.756710767745972,1,0,0,0,1,0,0,0,0,0.611699998378754,1,109,0.706422030925751,0.84403669834137,0,0,0,0,0,0,0,0,0,0,0,0.185937777161598,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0494. Ashtarak, Cultural House",20,"Aragatsotn","Tec#20","Ashtarak",0.00180000008549541,0.1908999979496,0.35249999165535,0.0667000040411949,0,0.0063999998383224,0,0.0009000000427477,0.380800008773804,1095,494,1,1,1,0,"0494. Ashtarak, Cultural House",0.379700005054474,0.620299994945526,1214,1,0,0.601400375366211,0,0,0,1,0,0,0,1,1,0.500550031661987,1,1882,0.581827819347382,0.645058453083038,0,0,0,0,0,0,0,0,0,0,0,0.57315731048584,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0547. Sipan, previous School building",20,"Aragatsotn","Tec#20","Ashtarak",0.0182000007480383,0.0364000014960766,0.163600012660027,0,0,0,0.0182000007480383,0,0.763599991798401,55,547,0,0,0,1,"0547. Sipan, previous School building",0.393400013446808,0.606599986553192,61,0,0,0.829238653182983,1,0,0,0,1,0,0,0,0,0.685099959373474,1,186,0.295698910951614,0.327956974506378,0,0,0,0,0,0,0,0,0,0,0,0.197864443063736,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0429. Oshakan, Club",19,"Aragatsotn","Tec#19","Talin",0.00730000017210841,0.321199983358383,0.319400012493134,0.0500000007450581,0,0.00730000017210841,0,0.00360000017099082,0.291200011968613,1099,429,1,0,1,0,"0429. Oshakan, Club",0.358399987220764,0.641600012779236,1275,1,0,0.552563428878784,0,0,0,1,0,0,0,1,1,0.466400027275085,0,1952,0.563012301921844,0.653176248073578,0,0,0,0,0,0,0,0,0,0,0,0.590172946453094,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0543. Rja-Taza, Club",20,"Aragatsotn","Tec#20","Ashtarak",0.00649999966844916,0.0129999993368983,0.0259999986737967,0.00649999966844916,0,0,0,0,0.948099970817566,154,543,1,0,0,0,"0543. Rja-Taza, Club",0.0115999998524785,0.988399982452393,172,0,0,0.910610318183899,0,1,0,0,0,1,0,0,1,0.968249976634979,1,333,0.462462455034256,0.516516506671906,0,0,0,0,0,0,0,0,0,0,0,0.222210511565208,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0493. Ashtarak, Proshyan 16 build,1-st floor",20,"Aragatsotn","Tec#20","Ashtarak",0.00139999995008111,0.21450001001358,0.390600025653839,0.0511000007390976,0.00279999990016222,0.00709999958053231,0,0,0.332400023937225,704,493,1,0,0,0,"0493. Ashtarak, Proshyan 16 build,1-st floor",0.594900012016296,0.405099987983704,669,0,0,0.575019717216492,0,1,0,0,0,1,0,0,1,0.368750005960464,1,1296,0.543209850788116,0.516203701496124,0,0,0,0,0,0,0,0,0,0,0,0.4278284907341,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0435. Aghdzk, stuff /hearquaters/",19,"Aragatsotn","Tec#19","Talin",0.00600000005215406,0.231200009584427,0.569100022315979,0.0375000014901161,0,0.00300000002607703,0,0.00300000002607703,0.150200009346008,666,435,0,0,0,1,"0435. Aghdzk, stuff /hearquaters/",0.583899974822998,0.41609999537468,757,0,0,0.47948545217514,1,0,0,0,1,0,0,0,0,0.283150017261505,0,1223,0.544562578201294,0.618969738483429,0,0,0,0,0,0,0,0,0,0,0,0.410076498985291,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0474. Hatsashen, Club",19,"Aragatsotn","Tec#19","Talin",0,0.0411000028252602,0.280799984931946,0.0274000000208616,0,0.0137000000104308,0.00680000009015203,0,0.630100011825562,146,474,1,0,1,0,"0474. Hatsashen, Club",0.308200001716614,0.691799998283386,146,1,0,0.737282693386078,0,0,0,1,0,0,0,1,1,0.660950005054474,0,217,0.672811031341553,0.672811031341553,0,0,0,0,0,0,0,0,0,0,0,0.202826082706451,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0444. Agarak, School",19,"Aragatsotn","Tec#19","Talin",0,0.0465000011026859,0.745599985122681,0.0441999994218349,0,0.00219999998807907,0,0,0.161499992012978,452,444,1,0,0,0,"0444. Agarak, School",0.658699929714203,0.341300010681152,463,0,0,0.481869697570801,0,1,0,0,0,1,0,0,1,0.251399993896484,0,656,0.689024388790131,0.705792665481567,0,0,0,0,0,0,0,0,0,0,0,0.282898813486099,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0439. Agarak, Club",19,"Aragatsotn","Tec#19","Talin",0.00370000000111759,0.339599996805191,0.329599976539612,0.0998999997973442,0.00119999994058162,0.00499999988824129,0,0.00249999994412065,0.218500003218651,801,439,0,0,1,1,"0439. Agarak, Club",0.329500019550323,0.670499980449677,859,1,0,0.518429279327393,0,0,1,0,0,0,1,0,1,0.444499999284744,0,1237,0.647534370422363,0.694422006607056,0,0,0,0,0,0,0,0,0,0,0,0.413464367389679,33.8997001647949,93292,37,2521.40551757813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0508. Aragats, Cultural House",20,"Aragatsotn","Tec#20","Ashtarak",0,0.613600015640259,0.133100003004074,0.0162000004202127,0,0.0015999999595806,0,0,0.235400006175041,616,508,1,0,0,0,"0508. Aragats, Cultural House",0.284999996423721,0.714999973773956,579,0,0,0.522149324417114,0,1,0,0,0,1,0,0,1,0.475199997425079,1,1071,0.575163424015045,0.540616273880005,0,0,0,0,0,0,0,0,0,0,0,0.373902887105942,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0479. Nor Amanos, post office",19,"Aragatsotn","Tec#19","Talin",0,0.12610000371933,0.588199973106384,0.0504000000655651,0,0.00839999970048666,0,0,0.226900011301041,238,479,0,0,0,1,"0479. Nor Amanos, post office",0.620400011539459,0.379599988460541,245,0,0,0.523218870162964,1,0,0,0,1,0,0,0,0,0.303250014781952,0,502,0.474103599786758,0.488047808408737,0,0,0,0,0,0,0,0,0,0,0,0.252752423286438,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0514. Geghadir, Club",20,"Aragatsotn","Tec#20","Ashtarak",0,0.222599998116493,0.470800012350082,0.0254999995231628,0.00360000017099082,0.00360000017099082,0,0.00730000017210841,0.26639997959137,274,514,0,0,0,1,"0514. Geghadir, Club",0.418799996376038,0.581200003623962,308,0,0,0.545741260051727,1,0,0,0,1,0,0,0,0,0.423799991607666,1,421,0.650831341743469,0.731591463088989,0,0,0,0,0,0,0,0,0,0,0,0.237775966525078,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0470. Karmrashen, Cultural House",19,"Aragatsotn","Tec#19","Talin",0,0.211299985647202,0.350899994373322,0.026400001719594,0,0.0150999994948506,0,0,0.396200001239777,265,470,0,0,0,1,"0470. Karmrashen, Cultural House",0.260500013828278,0.739499986171722,311,0,0,0.619751632213593,1,0,0,0,1,0,0,0,0,0.56784999370575,0,401,0.660847902297974,0.775561094284058,0,0,0,0,0,0,0,0,0,0,0,0.234173521399498,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0467. Lusakn, Club",19,"Aragatsotn","Tec#19","Talin",0,0.0632999986410141,0.0759000033140183,0,0,0,0.012699999846518,0,0.848099946975708,79,467,0,0,0,1,"0467. Lusakn, Club",0.158500000834465,0.841500043869019,82,0,0,0.877419531345367,1,0,0,0,1,0,0,0,0,0.844799995422363,0,147,0.537414968013763,0.557823121547699,0,0,0,0,0,0,0,0,0,0,0,0.191753000020981,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0443. Antarut, village muncipality",19,"Aragatsotn","Tec#19","Talin",0,0.233600005507469,0.45990002155304,0.0948999971151352,0,0,0,0,0.21170000731945,137,443,0,0,0,1,"0443. Antarut, village muncipality",0.487699955701828,0.51230001449585,162,0,0,0.514551997184753,1,0,0,0,1,0,0,0,0,0.362000018358231,0,198,0.691919207572937,0.818181812763214,0,0,0,0,0,0,0,0,0,0,0,0.199774146080017,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0488. Bazmaberd, Cultural House",19,"Aragatsotn","Tec#19","Talin",0.00800000037997961,0.0399999991059303,0.515999972820282,0.0120000001043081,0,0,0,0,0.424000024795532,250,488,1,0,0,0,"0488. Bazmaberd, Cultural House",0.558600008487701,0.441399991512299,256,0,0,0.624946773052216,0,1,0,0,0,1,0,0,1,0.432700008153915,0,347,0.720461070537567,0.737752139568329,0,0,0,0,0,0,0,0,0,0,0,0.224637344479561,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0495. Ashtarak, Mughni Club",20,"Aragatsotn","Tec#20","Ashtarak",0,0.147499993443489,0.340499997138977,0.0482999980449677,0,0.00270000007003546,0.0134000005200505,0,0.447699993848801,373,495,1,0,1,0,"0495. Ashtarak, Mughni Club",0.406199991703033,0.593800008296967,384,1,0,0.637864589691162,0,0,0,1,0,0,0,1,1,0.520749986171722,1,627,0.59489631652832,0.612440168857574,0,0,0,0,0,0,0,0,0,0,0,0.277058213949203,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0464. Tlik, Club",19,"Aragatsotn","Tec#19","Talin",0,0,0,0,0,0,0,0.0191999990493059,0.980800032615662,52,464,0,0,1,1,"0464. Tlik, Club",0.0535999983549118,0.946399986743927,56,1,0,0.953083455562592,0,0,1,0,0,0,1,0,1,0.963600039482117,0,111,0.468468457460403,0.504504501819611,0,0,0,0,0,0,0,0,0,0,0,0.186240419745445,33.8997001647949,93292,37,2521.40551757813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0465. Irind, Cultural House",19,"Aragatsotn","Tec#19","Talin",0,0.120399996638298,0.272300004959106,0.0838000029325485,0,0.00260000000707805,0,0.00260000000707805,0.518299996852875,382,465,0,0,0,1,"0465. Irind, Cultural House",0.296499997377396,0.703499972820282,398,0,0,0.689371585845947,1,0,0,0,1,0,0,0,0,0.610899984836578,0,544,0.702205896377563,0.731617629528046,0,0,0,0,0,0,0,0,0,0,0,0.260759502649307,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0535. Nigavan, School",20,"Aragatsotn","Tec#20","Ashtarak",0,0.148900002241135,0.258399993181229,0.00910000037401915,0.00910000037401915,0.00910000037401915,0,0,0.565299987792969,329,535,0,0,0,1,"0535. Nigavan, School",0.387499988079071,0.612500011920929,320,0,0,0.716170430183411,1,0,0,0,1,0,0,0,0,0.588899970054626,1,410,0.802439033985138,0.780487775802612,0,0,0,0,0,0,0,0,0,0,0,0.235789909958839,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0473. Hakko, Club",19,"Aragatsotn","Tec#19","Talin",0,0.025000000372529,0.25,0,0,0,0,0.025000000372529,0.699999988079071,40,473,0,0,0,1,"0473. Hakko, Club",0.184200003743172,0.81580001115799,38,0,0,0.792974710464478,1,0,0,0,1,0,0,0,0,0.75789999961853,0,122,0.327868849039078,0.311475396156311,0,0,0,0,0,0,0,0,0,0,0,0.187911748886108,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0521. Lernapar, School",20,"Aragatsotn","Tec#20","Ashtarak",0.00400000018998981,0.0278999991714954,0.219099998474121,0.0120000001043081,0,0,0,0,0.737100005149841,251,521,0,0,0,1,"0521. Lernapar, School",0.139300003647804,0.860700011253357,244,0,0,0.814128696918488,1,0,0,0,1,0,0,0,0,0.798900008201599,1,303,0.828382849693298,0.80528050661087,0,0,0,0,0,0,0,0,0,0,0,0.217073455452919,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0534. Mulki, School",20,"Aragatsotn","Tec#20","Ashtarak",0,0.4307000041008,0.134800001978874,0.0375000014901161,0,0.00370000000111759,0,0,0.393300026655197,267,534,0,0,0,1,"0534. Mulki, School",0.316399991512299,0.683600008487701,256,0,0,0.618098139762878,1,0,0,0,1,0,0,0,0,0.538450002670288,1,411,0.649635016918182,0.622871041297913,0,0,0,0,0,0,0,0,0,0,0,0.235969990491867,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0434. V.Sasunik, private building",19,"Aragatsotn","Tec#19","Talin",0,0.0500000007450581,0.566699981689453,0.133300006389618,0,0,0,0,0.25,60,434,1,0,0,0,"0434. V.Sasunik, private building",0.616400003433228,0.383599996566772,73,0,0,0.530107140541077,0,1,0,0,0,1,0,0,1,0.316799998283386,0,132,0.454545468091965,0.55303031206131,0,0,0,0,0,0,0,0,0,0,0,0.189441099762917,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0442. Tegher, village municipality",19,"Aragatsotn","Tec#19","Talin",0,0.0667000040411949,0.0833000019192696,0,0,0,0,0,0.850000023841858,60,442,0,0,0,1,"0442. Tegher, village municipality",0.16380001604557,0.836199998855591,116,0,0,0.878502905368805,1,0,0,0,1,0,0,0,0,0.843100011348724,0,192,0.3125,0.604166686534882,0,0,0,0,0,0,0,0,0,0,0,0.198817566037178,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0433. Voskevaz, kindergarten",19,"Aragatsotn","Tec#19","Talin",0.00209999992512167,0.198500007390976,0.470600008964539,0.0524999983608723,0.00209999992512167,0.00740000000223517,0,0,0.26680001616478,952,433,1,0,1,0,"0433. Voskevaz, kindergarten",0.571300029754639,0.428700000047684,1003,1,0,0.539264023303986,0,0,0,1,0,0,0,1,1,0.347750008106232,0,1460,0.652054786682129,0.686986327171326,0,0,0,0,0,0,0,0,0,0,0,0.468325674533844,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0509. Arayi, School",20,"Aragatsotn","Tec#20","Ashtarak",0,0.25670000910759,0.352899998426437,0.00529999984428287,0,0.0214000009000301,0.0107000004500151,0,0.352899998426437,187,509,1,0,0,0,"0509. Arayi, School",0.389500021934509,0.610499978065491,190,0,0,0.586193323135376,0,1,0,0,0,1,0,0,1,0.481700003147125,1,252,0.742063462734222,0.753968238830566,0,0,0,0,0,0,0,0,0,0,0,0.208538725972176,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0504. Alagyaz, Club",20,"Aragatsotn","Tec#20","Ashtarak",0,0.0670000016689301,0.0278999991714954,0,0,0,0,0,0.904999971389771,179,504,0,0,1,1,"0504. Alagyaz, Club",0.0764999985694885,0.923500001430511,196,1,0,0.909863233566284,0,0,1,0,0,0,1,0,1,0.914250016212463,1,344,0.520348846912384,0.569767415523529,0,0,0,0,0,0,0,0,0,0,0,0.22411572933197,33.8997001647949,93292,37,2521.40551757813,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0542. Jrambar, School",20,"Aragatsotn","Tec#20","Ashtarak",0,0.104799993336201,0.161899998784065,0.0094999996945262,0,0,0,0.0094999996945262,0.714299976825714,105,542,0,0,0,1,"0542. Jrambar, School",0.165100008249283,0.834900081157684,109,0,0,0.801128387451172,1,0,0,0,1,0,0,0,0,0.774600028991699,1,201,0.52238804101944,0.542288541793823,0,0,0,0,0,0,0,0,0,0,0,0.20025372505188,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0426. Talin, kindergarten , 2-nd entrance",19,"Aragatsotn","Tec#19","Talin",0.0015999999595806,0.123999997973442,0.573899984359741,0.0509000010788441,0,0.0110999997705221,0.0015999999595806,0,0.236900001764297,629,426,1,0,1,0,"0426. Talin, kindergarten , 2-nd entrance",0.528500020503998,0.471500009298325,615,1,0,0.522966861724854,0,0,0,1,0,0,0,1,1,0.354200005531311,0,1166,0.539451122283936,0.527444243431091,0,0,0,0,0,0,0,0,0,0,0,0.396373957395554,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0491. Ujan, Cultural House",19,"Aragatsotn","Tec#19","Talin",0.00479999976232648,0.194999992847443,0.258399993181229,0.186200007796288,0.0015999999595806,0.0136000001803041,0.00800000037997961,0,0.332300007343292,1246,491,1,0,1,0,"0491. Ujan, Cultural House",0.361699968576431,0.638300001621246,1410,1,0,0.574965178966522,0,0,0,1,0,0,0,1,1,0.485300004482269,0,1865,0.668096542358398,0.756032168865204,0,0,0,0,0,0,0,0,0,0,0,0.568997085094452,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0441. Sasunik, secondary School",19,"Aragatsotn","Tec#19","Talin",0,0.100000001490116,0.238499999046326,0.0692000016570091,0,0.0115000000223517,0,0.00380000006407499,0.576900005340576,260,441,0,0,0,1,"0441. Sasunik, secondary School",0.33899998664856,0.66100001335144,295,0,0,0.722784578800201,1,0,0,0,1,0,0,0,0,0.618950009346008,0,1145,0.227074235677719,0.257641911506653,0,0,0,0,0,0,0,0,0,0,0,0.391365140676498,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0548. Vardablur, Club",20,"Aragatsotn","Tec#20","Ashtarak",0.0082999998703599,0.25,0.383300006389618,0.0417000018060207,0,0,0,0,0.316700011491776,240,548,0,0,0,1,"0548. Vardablur, Club",0.368400007486343,0.631600022315979,247,0,0,0.57442170381546,1,0,0,0,1,0,0,0,0,0.474150002002716,1,386,0.621761679649353,0.639896392822266,0,0,0,0,0,0,0,0,0,0,0,0.231496661901474,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0483. Shgharshik, Club",19,"Aragatsotn","Tec#19","Talin",0,0.00779999978840351,0.228700011968613,0.00389999989420176,0,0.00389999989420176,0,0.00779999978840351,0.748099982738495,258,483,0,0,0,1,"0483. Shgharshik, Club",0.178800016641617,0.821200013160706,274,0,0,0.820400714874268,1,0,0,0,1,0,0,0,0,0.784649968147278,0,333,0.774774789810181,0.82282280921936,0,0,0,0,0,0,0,0,0,0,0,0.222210511565208,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0554. Ohanavan, School",20,"Aragatsotn","Tec#20","Ashtarak",0.0009000000427477,0.196399986743927,0.571399986743927,0.0220999997109175,0,0.00430000014603138,0.0009000000427477,0.0009000000427477,0.203199997544289,1176,554,1,0,0,0,"0554. Ohanavan, School",0.237200006842613,0.762799978256226,1054,0,0,0.504598498344421,0,1,0,0,0,1,0,0,1,0.482999980449677,1,1578,0.74524712562561,0.667934119701386,0,0,0,0,0,0,0,0,0,0,0,0.497756093740463,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
