"","obs","date_id","unit","period","total_fatal","white_fatal","black_fatal","division","regiment","battalion","year","month","period1","toe","blackbn","seg","count","spec_fatal","spec_fatal_rate","spec_fatal_rate100","cluster_id","total_fatal_rate","total_fatal_rate100","segneg4","segneg3","segneg2","segneg1","segpos4","segpos3","segpos2","segpos1"
"24",10051,1951062,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",510602,1,1,0,1,5,1,51,6,2,917,0,1,24,1,0.00109051254089422,0.109051254089422,10501,0.00109051254089422,0.109051254089422,1,1,1,1,1,1,1,1
"25",10051,1951071,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",510701,3,3,0,1,5,1,51,7,1,917,0,1,25,3,0.00327153762268266,0.327153762268266,10501,0.00327153762268266,0.327153762268266,1,1,1,1,1,1,1,1
"26",10051,1951072,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",510702,1,1,0,1,5,1,51,7,2,917,0,1,26,1,0.00109051254089422,0.109051254089422,10501,0.00109051254089422,0.109051254089422,1,1,1,1,1,1,1,1
"27",10051,1951081,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",510801,2,2,0,1,5,1,51,8,1,917,0,1,27,2,0.00218102508178844,0.218102508178844,10501,0.00218102508178844,0.218102508178844,1,1,1,1,1,1,1,1
"28",10051,1951082,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",510802,2,2,0,1,5,1,51,8,2,917,0,1,28,2,0.00218102508178844,0.218102508178844,10501,0.00218102508178844,0.218102508178844,1,1,1,1,1,1,1,1
"29",10051,1951091,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",510901,2,1,0,1,5,1,51,9,1,917,0,1,29,1,0.00109051254089422,0.109051254089422,10501,0.00218102508178844,0.218102508178844,0,1,1,1,1,1,1,1
"30",10051,1951092,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",510902,0,0,0,1,5,1,51,9,2,917,0,1,30,0,0,0,10501,0,0,0,0,1,1,1,1,1,1
"31",10051,1951101,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",511001,57,52,4,1,5,1,51,10,1,917,0,1,31,52,0.0567066521264995,5.67066521264995,10501,0.0621592148309706,6.21592148309706,0,0,0,1,1,1,1,1
"32",10051,1951102,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",511002,50,45,4,1,5,1,51,10,2,917,0,1,32,45,0.0490730643402399,4.90730643402399,10501,0.054525627044711,5.4525627044711,0,0,0,0,1,1,1,1
"33",10051,1951111,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",511101,5,3,2,1,5,1,51,11,1,917,0,0,33,3,0.00327153762268266,0.327153762268266,10501,0.0054525627044711,0.54525627044711,0,0,0,0,1,1,1,1
"34",10051,1951112,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",511102,1,0,1,1,5,1,51,11,2,917,0,0,34,0,0,0,10501,0.00109051254089422,0.109051254089422,0,0,0,0,1,1,1,0
"35",10051,1951121,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",511201,0,0,0,1,5,1,51,12,1,917,0,0,35,0,0,0,10501,0,0,0,0,0,0,1,1,0,0
"36",10051,1951122,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",511202,0,0,0,1,5,1,51,12,2,917,0,0,36,0,0,0,10501,0,0,0,0,0,0,1,0,0,0
"37",10051,1952011,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520101,0,0,0,1,5,1,52,1,1,917,0,0,37,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"38",10051,1952012,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520102,0,0,0,1,5,1,52,1,2,917,0,0,38,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"39",10051,1952021,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520201,0,0,0,1,5,1,52,2,1,917,0,0,39,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"40",10051,1952022,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520202,0,0,0,1,5,1,52,2,2,917,0,0,40,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"41",10051,1952031,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520301,0,0,0,1,5,1,52,3,1,917,0,0,41,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"42",10051,1952032,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520302,0,0,0,1,5,1,52,3,2,917,0,0,42,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"43",10051,1952041,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520401,0,0,0,1,5,1,52,4,1,917,0,0,43,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"44",10051,1952042,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520402,0,0,0,1,5,1,52,4,2,917,0,0,44,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"45",10051,1952051,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520501,0,0,0,1,5,1,52,5,1,917,0,0,45,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"46",10051,1952052,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520502,0,0,0,1,5,1,52,5,2,917,0,0,46,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"47",10051,1952061,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520601,0,0,0,1,5,1,52,6,1,917,0,0,47,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"48",10051,1952062,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520602,0,0,0,1,5,1,52,6,2,917,0,0,48,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"49",10051,1952071,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520701,0,0,0,1,5,1,52,7,1,917,0,0,49,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"50",10051,1952072,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520702,0,0,0,1,5,1,52,7,2,917,0,0,50,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"51",10051,1952081,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520801,0,0,0,1,5,1,52,8,1,917,0,0,51,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"52",10051,1952082,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520802,0,0,0,1,5,1,52,8,2,917,0,0,52,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"53",10051,1952091,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520901,0,0,0,1,5,1,52,9,1,917,0,0,53,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"54",10051,1952092,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",520902,0,0,0,1,5,1,52,9,2,917,0,0,54,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"55",10051,1952101,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",521001,0,0,0,1,5,1,52,10,1,917,0,0,55,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"56",10051,1952102,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",521002,0,0,0,1,5,1,52,10,2,917,0,0,56,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"57",10051,1952111,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",521101,0,0,0,1,5,1,52,11,1,917,0,0,57,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"58",10051,1952112,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",521102,0,0,0,1,5,1,52,11,2,917,0,0,58,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"59",10051,1952121,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",521201,0,0,0,1,5,1,52,12,1,917,0,0,59,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"60",10051,1952122,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",521202,0,0,0,1,5,1,52,12,2,917,0,0,60,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"61",10051,1953011,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530101,0,0,0,1,5,1,53,1,1,917,0,0,61,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"62",10051,1953012,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530102,0,0,0,1,5,1,53,1,2,917,0,0,62,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"63",10051,1953021,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530201,0,0,0,1,5,1,53,2,1,917,0,0,63,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"64",10051,1953022,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530202,0,0,0,1,5,1,53,2,2,917,0,0,64,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"65",10051,1953031,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530301,0,0,0,1,5,1,53,3,1,917,0,0,65,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"66",10051,1953032,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530302,0,0,0,1,5,1,53,3,2,917,0,0,66,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"67",10051,1953041,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530401,0,0,0,1,5,1,53,4,1,917,0,0,67,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"68",10051,1953042,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530402,0,0,0,1,5,1,53,4,2,917,0,0,68,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"69",10051,1953051,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530501,0,0,0,1,5,1,53,5,1,917,0,0,69,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
"70",10051,1953052,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",530502,0,0,0,1,5,1,53,5,2,917,0,0,70,0,0,0,10501,0,0,0,0,0,0,0,0,0,0
