"","obs","date_id","unit","total_fatal","white_fatal","black_fatal","auth","eff","black","toe","count","integration_pct","black_imputed","period","specpct_imputed","specpct_imputed100","data","white","specpct_real","specpct_real100","blackbn"
"62",10051,1953012,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,854,639,NA,917,62,0.13733024631977,125.931835875229,530102,0,0,0,NA,NA,NA,0
"63",10051,1953021,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,887,660,NA,917,63,0.13733024631977,125.931835875229,530201,0,0,0,NA,NA,NA,0
"64",10051,1953022,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,887,715,NA,917,64,0.13733024631977,125.931835875229,530202,0,0,0,NA,NA,NA,0
"65",10051,1953031,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,887,690,NA,917,65,0.13733024631977,125.931835875229,530301,0,0,0,NA,NA,NA,0
"66",10051,1953032,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,887,648,NA,917,66,0.13733024631977,125.931835875229,530302,0,0,0,NA,NA,NA,0
"67",10051,1953041,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,887,703,NA,917,67,0.13733024631977,125.931835875229,530401,0,0,0,NA,NA,NA,0
"68",10051,1953042,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,NA,NA,NA,917,68,0.13733024631977,125.931835875229,530402,0,0,0,NA,NA,NA,0
"69",10051,1953051,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,887,670,NA,917,69,0.13733024631977,125.931835875229,530501,0,0,0,NA,NA,NA,0
"70",10051,1953052,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,NA,NA,NA,917,70,0.13733024631977,125.931835875229,530502,0,0,0,NA,NA,NA,0
"71",10051,1953061,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,NA,NA,NA,917,71,0.13733024631977,125.931835875229,530601,0,0,0,NA,NA,NA,0
"72",10051,1953062,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,NA,NA,NA,917,72,0.13733024631977,125.931835875229,530602,0,0,0,NA,NA,NA,0
