"country","year","Fvar5","var5","market","lgdppc","gdpgrowt","tradeofg","overallb","generalg","regime","d2","d3"
"Bahrain",1994,-0.492170453071594,-0.583033204078674,22.9025783538818,9.67218589782715,2.36686396598816,169.367752075195,-2.91616654396057,22.0088043212891,1,0,1
"Bahrain",1995,0.172184824943542,-0.492170453071594,22.9515838623047,9.68595314025879,2.154953956604,177.713668823242,-6.13758659362793,22.2281475067139,1,0,1
"Bangladesh",1975,0,0,23.6907768249512,5.52146100997925,-0.738689839839935,8.09295272827148,0.844172954559326,0.89725524187088,3,0,0
"Bangladesh",1976,0,0,23.7459716796875,5.56068181991577,4.34777498245239,16.4724540710449,-2.50413107872009,1.15372729301453,3,0,0
"Bangladesh",1977,0,0,23.7956924438477,5.59842205047607,1.4893718957901,14.2969055175781,0.141267091035843,1.44335758686066,3,0,0
"Bangladesh",1978,0,0,23.9443664550781,5.70378255844116,7.03382968902588,15.4846134185791,2.14778614044189,1.38274419307709,6,0,0
"Bangladesh",1979,0,0,24.1216068267822,5.85793304443359,6.37347364425659,16.1241550445557,0.372304618358612,1.78216350078583,6,0,0
"Bangladesh",1980,0,0,24.2453861236572,5.96614694595337,1.49627220630646,17.7186050415039,1.84184014797211,1.79364728927612,6,1,0
"Bangladesh",1981,0,0,24.4009590148926,6.10924768447876,10.2112731933594,18.7616443634033,-2.34405660629272,1.894895195961,6,1,0
"Bangladesh",1982,0.00240702088922262,0,24.4445419311523,6.10924768447876,3.48290991783142,20.0105895996094,0.893417716026306,2.0219738483429,3,1,0
"Bangladesh",1983,-0.00314423302188516,0.00240702088922262,24.4969501495361,6.15273284912109,4.68030261993408,19.6735496520996,2.2763032913208,1.6169261932373,3,1,0
"Bangladesh",1984,0,-0.00314423302188516,24.5913314819336,6.21460819244385,4.85290098190308,18.6511077880859,0.604643881320953,1.85806465148926,3,1,0
"Bangladesh",1985,0.0114189963787794,0,24.6845073699951,6.29156923294067,3.93206071853638,18.9749660491943,-1.0800279378891,2.0764102935791,3,1,0
"Bangladesh",1986,0.0134729780256748,0.0114189963787794,24.8042850494385,6.38012266159058,4.33975601196289,17.125804901123,-0.413890898227692,3.55471968650818,5,1,0
"Bangladesh",1987,0.00697745103389025,0.0134729780256748,24.931058883667,6.47697257995605,4.18141317367554,17.467456817627,-0.911544919013977,3.22137904167175,5,1,0
"Bangladesh",1988,0.000746847013942897,0.00697745103389025,25.0175380706787,6.53669166564941,2.89095115661621,18.2483444213867,-0.730669260025024,3.32318472862244,5,1,0
"Bangladesh",1989,0.0100485626608133,0.000746847013942897,25.0437030792236,6.55108022689819,2.51969504356384,19.0785446166992,-0.318084836006165,3.88934063911438,5,1,0
"Benin",1977,0.0861225500702858,0.413289606571198,21.1049499511719,6.13122653961182,4.98366594314575,63.8349838256836,0.778197467327118,8.30837059020996,3,0,0
"Benin",1978,0.303479880094528,0.0861225500702858,21.1974620819092,6.1944055557251,1.2550790309906,64.0651931762695,2.41031694412231,8.31587982177734,3,0,0
"Benin",1979,0.306024581193924,0.303479880094528,21.3761348724365,6.34563636779785,6.53574419021606,68.3768157958984,-0.400258392095566,8.02498245239258,3,0,0
"Bolivia",1988,-0.517451703548431,-0.21965666115284,23.3651695251465,7.71423101425171,2.90924882888794,41.90625,-0.733885526657104,11.3865165710449,19,1,0
"Bolivia",1989,0.55475115776062,-0.517451703548431,23.3996696472168,7.72312021255493,3.78621649742126,45.6547012329102,-1.44557619094849,11.9405860900879,19,1,0
"Bolivia",1990,0.973294675350189,0.55475115776062,23.4025611877441,7.70526266098022,4.63939189910889,46.7032623291016,-1.69784128665924,11.7554788589478,19,0,1
"Bolivia",1991,1.69165003299713,0.973294675350189,23.4832897186279,7.76217079162598,5.26707696914673,48.4449615478516,-0.0689938887953758,12.0747299194336,19,0,1
"Bolivia",1992,2.53190541267395,1.69165003299713,23.5421714782715,7.79564666748047,1.64611077308655,49.1108474731445,-2.04506134986877,12.8704996109009,19,0,1
"Bolivia",1993,2.4245069026947,2.53190541267395,23.6071300506592,7.83597469329834,4.26952171325684,47.4671249389648,-1.95061361789703,13.3708448410034,19,0,1
"Bolivia",1994,5.57355690002441,2.4245069026947,23.6726627349854,7.8785343170166,4.66696834564209,48.8608551025391,-3.27793049812317,13.567907333374,19,0,1
"Bolivia",1995,6.29649496078491,5.57355690002441,23.745735168457,7.92660236358643,4.67846298217773,49.7379913330078,-2.32355618476868,13.57262134552,19,0,1
"Bolivia",1996,7.53687620162964,6.29649496078491,23.795129776001,7.95155954360962,4.09855175018311,48.9661827087402,-2.3436803817749,12.5869522094727,19,0,1
"Botswana",1975,2.94163155555725,-11.1044025421143,20.3407859802246,6.80239486694336,-1.11972439289093,92.0305252075195,0.525646448135376,17.2106819152832,18,0,0
"Botswana",1976,2.81327247619629,2.94163155555725,20.5277862548828,6.95654535293579,18.9895477294922,91.0140380859375,-6.47425889968872,16.7238693237305,18,0,0
"Botswana",1977,7.64600896835327,2.81327247619629,20.5982875823975,6.98471641540527,3.54528331756592,88.2117080688477,-1.22427153587341,19.8075389862061,18,0,0
"Botswana",1978,17.5163993835449,7.64600896835327,20.8562965393066,7.20785999298096,19.4828796386719,85.8735198974609,-1.57188355922699,20.336669921875,18,0,0
"Botswana",1979,10.7784175872803,17.5163993835449,21.0661964416504,7.38398933410645,9.93237495422363,94.9065628051758,3.53563761711121,16.8844051361084,18,0,0
"Botswana",1980,7.36960124969482,10.7784175872803,21.3082160949707,7.5908522605896,14.2945022583008,99.3074111938477,-0.154313489794731,17.6913738250732,18,1,0
"Botswana",1981,2.02370071411133,7.36960124969482,21.4580039978027,7.70526266098022,9.50618934631348,104.111785888672,-1.96380770206451,21.3084907531738,18,1,0
"Botswana",1982,2.10600972175598,2.02370071411133,21.5413417816162,7.75362348556519,7.45837688446045,103.562873840332,-2.0929262638092,24.7525787353516,18,1,0
"Botswana",1983,4.79622554779053,2.10600972175598,21.6969089508057,7.87473917007446,16.0482540130615,110.17073059082,8.39186954498291,24.0325202941895,18,1,0
"Botswana",1984,4.42100381851196,4.79622554779053,21.8512325286865,7.99294471740723,11.5085229873657,106.787544250488,12.6934480667114,23.9485034942627,18,1,0
"Botswana",1985,5.21374416351318,4.42100381851196,21.9747447967529,8.08023738861084,7.1706280708313,99.1284255981445,21.2166118621826,22.2455787658691,18,1,0
"Botswana",1986,6.90029716491699,5.21374416351318,22.1253452301025,8.19698810577393,7.4906210899353,104.233154296875,20.9051132202148,20.17041015625,18,1,0
"Botswana",1987,1.66366624832153,6.90029716491699,22.2958564758301,8.33327007293701,8.90542316436768,101.084381103516,16.7635383605957,23.609489440918,18,1,0
"Botswana",1988,1.43920159339905,1.66366624832153,22.49587059021,8.50106334686279,15.2697563171387,113.468856811523,19.5057544708252,25.4433631896973,18,1,0
"Botswana",1989,2.80496525764465,1.43920159339905,22.6203937530518,8.59230041503906,13.1217155456543,105.898780822754,9.79166698455811,20.2662410736084,18,1,0
"Botswana",1990,-0.203017979860306,2.80496525764465,22.6910362243652,8.63230609893799,5.63372659683228,107.507690429688,12.1360502243042,21.9616661071777,18,0,1
"Botswana",1991,-0.0504269935190678,-0.203017979860306,22.804386138916,8.71440315246582,8.72088527679443,103.769798278809,10.173641204834,25.4468116760254,18,0,1
"Botswana",1992,-7.00360488891602,-0.0504269935190678,22.9079456329346,8.79026889801025,6.33759737014771,95.4899978637695,10.7184238433838,24.0836067199707,18,0,1
"Botswana",1993,-0.324336469173431,-7.00360488891602,22.9272861480713,8.78262996673584,-0.130476132035255,84.4597854614258,10.0043830871582,28.4374313354492,18,0,1
"Botswana",1994,1.52680706977844,-0.324336469173431,22.991117477417,8.82173252105713,4.08547401428223,84.2204208374023,1.91183090209961,28.5434093475342,18,0,1
"Botswana",1995,1.82325196266174,1.52680706977844,23.0489273071289,8.85509300231934,3.12732696533203,84.7425842285156,2.84430551528931,27.9873580932617,18,0,1
"Botswana",1996,1.97251200675964,1.82325196266174,23.1264381408691,8.90788269042969,6.9582257270813,86.5942153930664,9.35411071777344,28.1648559570312,18,0,1
"Brazil",1980,0.956212878227234,0.813631594181061,26.8274173736572,8.21066761016846,9.11095237731934,20.3777770996094,-2.42424440383911,9.19999980926514,6,1,0
"Brazil",1981,1.03187489509583,0.956212878227234,26.8415145874023,8.20248222351074,-4.39333963394165,19.2152462005615,-2.44598650932312,9.31614303588867,6,1,0
"Brazil",1982,0.767308533191681,1.03187489509583,26.8618469238281,8.19973850250244,0.580240428447723,15.8695650100708,-2.7667989730835,10,7,1,0
"Brazil",1983,0.764489352703094,0.767308533191681,26.8310279846191,8.14902400970459,-3.40980505943298,20.4268283843994,-4.09348011016846,9.66228866577148,7,1,0
"Brazil",1984,0.604634582996368,0.764489352703094,26.9274139404297,8.22416305541992,5.26914596557617,21.4743595123291,-4.86920213699341,8.28347587585449,7,1,0
"Brazil",1985,0.11934182792902,0.604634582996368,27.0586452484131,8.33567142486572,7.94586229324341,19.3420066833496,-11.1606597900391,9.86991310119629,17,1,0
"Brazil",1986,0.416547477245331,0.11934182792902,27.2130260467529,8.47219562530518,7.98830699920654,15.1715641021729,-13.3403425216675,10.6738662719727,17,1,0
"Brazil",1987,0.899933040142059,0.416547477245331,27.3341426849365,8.57357311248779,3.5996310710907,15.6527481079102,-12.0772752761841,12.163685798645,18,1,0
"Brazil",1988,0.282331794500351,0.899933040142059,27.3911437988281,8.61250305175781,-0.102686338126659,16.580753326416,-15.1762361526489,12.5918979644775,18,1,0
"Brazil",1989,0.212693154811859,0.282331794500351,27.424955368042,8.62873458862305,3.27947163581848,13.2437467575073,-16.0624618530273,14.2636642456055,18,1,0
"Brazil",1990,0.270522803068161,0.212693154811859,27.3331604003906,8.52118492126465,-4.30000257492065,15.1617546081543,-5.81626892089844,19.2920551300049,18,0,1
